Media Type,"Collection, Source",Era,Theme,Access Control,AI Trainable,Location,Equipment ID,"Sub1, Haudenosaunee Foundations","Sub2, Gov, Law","Sub3, Diplomacy, Treaty Relations","Sub4, Wampum","Sub5, Iconography and Symbols","Sub6, Material Culture and Technique","Sub7, Language, Orthography","Sub8, Oral History, Storywork","Sub9, Cosmology, Creation Narratives","Sub10, Historical Events, Periodization","Sub11, Land, Place, Territory","Sub12, Artists, Aesthetics, Practice","Sub13, Scholarship, Historiography","Sub14, Education","Sub15, Protocols, Permission, Care",AI Trainable
"BK, Book","RICK, Richard Hill",Era 1,Haudenosaunee Foundations,Public,Yes,"TTRD, Through the RedDoor","CZUR1, CZUR Scanner 1",Names of the Nations,Origin of the Great Law,Treaty Making Protocols,Origin of Wampum,Creation Story Symbols,Architecture,Haudenosaunee Language Essentials,Origin of Stories,Worldview,Archaeology,"Meaning of land, clay, place",Aesthetics,Early Scholarship—Questionable Accuracy,History of Haudenosaunee Education,Haudenosaunee Ethics,Yes
"VD, Video","KANA, David Maracle",Era 2,"Governance, Law",Community,No,"OTEK, OTEKH Labs Main","CZUR2, CZUR Scanner 2",Clans of the Nation,Versions of the Great Law,Use of Wampum in Treaty Making,Making Wampum Belts,Great Law of Peace Symbols,Village,Mohawk Language,Storytelling Traditions,Philosophy,Ancient Ancestors,Nation Territories,Ancient Crafts,Accurate Scholarship,Longhouse Village Education,Research Ethics,No
"AD, Audio","AGM3, AbInt AGM03",Era 3,"Diplomacy, Treaty Relations",Restricted,,"LLAB, Language Lab","SNA11, Sony A1 Cam 1",Gender Roles,Great Law Wampum,Two Row Wampum Treaty,Dish with One Spoon Wampum Belt,Linguistic Metaphors,Clans,Oneida Language,Creation Stories,Creation Story,Contacts,Satellite Territories,Historic Crafts,Haudenosaunee Student Scholarship,Colonial forms of Education,Culturally Sensitive Materials,Main Entry
"DC, Document","MLSK, Mary Lou Smoke",Era 4,Wampum,,,"WELD, Weldon Library","SNA12, Sony A1 Cam 2",Consensus Building,History of Putting up Chiefs,French Treaty Relations,16th Century Use of Wampum ,Artistic Design and Symbols,Longhouse,Onondagas Language,After the Creation Stories,Original Instructions,Historical Era (1400–1900),Creation of Contemporary Communities,Modern Crafts,Haudenosaunee-based Research Protocols,Modern Haudenosaunee Education,Restricted Materials,
"JL, Journal",,Era 5,"Iconography, Symbol Systems",,,,"LGH51, Lumix Gh5 Cam 1","Territories, then and now",Early Decisions of Grand Council,Dutch Treaty Relations,17th Century Use of Wampum,,Economy,Cayuga Language,Animal Stories,,Contemporary Era (1900–today),,Visual Arts,Haudenosaunee Scholars,Haudenosaunee-made Curriculum,,
"NW, News",,Era 6,"Cultural Material, Technique",,,,"LGH52, Lumix Gh5 Cam2",,Historic Function of the Grand Council,British Treaty Relations,18th Century Use of Wampum,,Gender Roles,Seneca Language,Bird Stories,,,,Creative Literature,,Contemporary Haudenosaunee Pedagogy,,
"PH, Photo",,Era 7,"Language, Orthography",,,,"I36P1, Insta 360 Pro 1",,Modern Decisions of the Grand Council,American Treaty Relations,19th Century Use of Wampum,,Governance,Tuscarora Language,Plant and Tree Stories,,,,Performance,,,,
"3D, 3D-Scan",,Era 8,"Oral History, Storywork",,,,"I36T1, Insta 360 Titan 1",,Mohawk Nation Governance,,20th Century Use of Wampum,,,Inuit Language,Celestial Body Stories,,,,Traditional Music,,,,
,,,"Cosmology, Creation Narratives",,,,"DJJM1, Drone DJJ Maverick",,Oneida Nation Governance,,Wampum Repatriation,,,,Serpent Stories,,,,Contemporary Music,,,,
,,,"Historical Events, Periodization",,,,"DJJA1, Drone DJJ Air 1",,Onondaga Nation Governance,,,,,,Little People Stories,,,,Digital Media,,,,
,,,"Land, Place, Territory",,,,"ZQ8N1, Zoom Q8n Cam 1",,Cayuga Nation Governance,,,,,,Hero Tales,,,,,,,,
,,,"Artists, Aesthetics, Practice",,,,"ZQ8N2, Zoom Q8n Cam 2",,Seneca Nation Governance,,,,,,,,,,,,,,
,,,"Scholarship, Historiography",,,,"ZQ8N3, Zoom Q8n Cam 3",,Tuscarora Nation Governance,,,,,,,,,,,,,,
,,,"Education, Curriculum, Pedagogy",,,,"ZQ8N4, Zoom Q8n Cam 4",,,,,,,,,,,,,,,,
,,,"Protocol, Permissions, Care",,,,"GP121, GoPro 12 Cam 1",,,,,,,,,,,,,,,,
,,,,,,,"GP091, GoPro 9 Cam 1",,,,,,,,,,,,,,,,
,,,,,,,"GP092, GoPro 9 Cam 2",,,,,,,,,,,,,,,,
,,,,,,,"ZF8N1, Zoom Fn8 Audio 1",,,,,,,,,,,,,,,,
,,,,,,,"ZH4A1, Zoom H4 Audio 1",,,,,,,,,,,,,,,,
,,,,,,,"ZH3V1, Zoom H3VR Audio 1",,,,,,,,,,,,,,,,
,,,,,,,"ZH3V2, Zoom H3VR Audio 2",,,,,,,,,,,,,,,,
,,,,,,,"ZH3V3, Zoom H3VR Audio 3",,,,,,,,,,,,,,,,
,,,,,,,"ZH3V4, Zoom H3VR Audio 4",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
